login,password,firstName,lastName,address1,address2,creditCard
jojo,bean,Jojo,Bean,Omsk_Mira,Moscow_422,123456789
princessFiona,koko,Princess,Fiona,Kazan2,Moscow2,0000002
donkey,fofo,Donkey,Donkeyyy,Kazan3,Moscow3,0000003
shrek,fofo1,Shrek,Ogree,Kazan4,Moscow4,0000004
farquaad,fofo2,Lord,Farquaad,Kazan5,Moscow5,0000005
godmother,fofo3,Fairy,Godmother,Kazan6,Moscow6,0000006
charming,fofo4,Prince,Charming,Kazan7,Moscow7,0000007
gingy,fofo5,Gingy,Pechena,Kazan8,Moscow8,0000008
cinderella,fofo6,Cinderella,Princess,Kazan9,Moscow9,0000009
merlin,fofo7,Merlin,Mag,Kazan10,Moscow10,00000010
